Date,Prediction,Lower Bound,Upper Bound,Is Forecast
2023-09-29,2642.1532763352134,1728.1428795546583,3538.0725841959065,false
2023-09-30,1617.4723963479273,726.0210342204473,2511.4319691904307,false
2023-10-01,1691.3255896085534,782.2655912662539,2691.885974707362,false
2023-10-02,2670.2422998456086,1789.2041402071466,3519.253117632598,false
2023-10-03,2504.0495806099048,1650.1176476814733,3411.715352655483,false
2023-10-04,2516.2874615813585,1577.9883368839205,3503.1788275299205,false
2023-10-05,2504.6670606213584,1589.9686151338126,3398.1493691991786,false
2023-10-06,2550.983006767409,1638.674217602174,3434.8669251537995,false
2023-10-07,1441.7038988439454,553.5865465527105,2366.3364207265995,false
2023-10-08,1468.17115355589,640.9338293387741,2329.488474554291,false
2023-10-09,2450.7596608956087,1564.2009862331465,3298.0410763062605,false
2023-10-10,2320.8776388830192,1400.7719444760226,3231.517390090525,false
2023-10-11,2365.4327881966046,1458.2895918773006,3274.8337791322247,false
2023-10-12,2355.482531823667,1415.660201560834,3244.309634910464,false
2023-10-13,2375.829974661967,1549.543292582807,3275.312301443042,false
2023-10-14,1240.7880510228367,348.9896272491909,2138.594431269968,false
2023-10-15,1270.007794258529,389.69361932954143,2141.1045550945487,false
2023-10-16,2290.387500953424,1424.3136016902401,3206.874432991383,false
2023-10-17,2216.9069746252876,1280.9845149903497,3061.2102964783567,false
2023-10-18,2316.3694417069755,1481.0664547552653,3182.211143027448,false
2023-10-19,2356.5916675081858,1466.4254012915924,3245.9063001451696,false
2023-10-20,2438.09314116239,1553.3898989253844,3369.344724177946,false
2023-10-21,1391.481594008777,523.7871469346667,2212.0865178013673,false
2023-10-22,1531.7721575557325,605.2358599959442,2475.7108271296306,false
2023-10-23,2656.2290986377875,1723.874152581576,3521.5832468612293,false
2023-10-24,2643.5662982182635,1719.938708847501,3497.6571235735178,false
2023-10-25,2743.631011285347,1860.463965794587,3635.9308688878587,false
2023-10-26,2739.026348109095,1849.700731487499,3619.769925952016,false
2023-10-27,2766.8209290299305,1831.5387338108367,3641.280761133944,false
2023-10-28,1693.2462503220468,799.0661767855983,2607.8572456144566,false
2023-10-29,1850.586714444817,907.9953736917171,2741.467507191814,false
2023-10-30,3032.892709745585,2204.0806275998384,3996.3274177086764,false
2023-10-31,3103.783165314688,2225.465989015617,4031.300296604179,false
2023-11-01,3294.071462982217,2366.366776625349,4205.55291735475,false
2023-11-02,3365.304455046497,2459.745871856365,4202.656449362969,false
2023-11-03,3432.347775504054,2516.2542444344813,4339.9918833471465,false
2023-11-04,2345.2013767684243,1448.0593544960998,3223.7340523405583,false
2023-11-05,2437.8724302264145,1541.74845666989,3345.8215671224066,false
2023-11-06,3529.7187244675542,2688.082217262164,4439.099577782662,false
2023-11-07,3522.5097205233046,2685.0746208331325,4399.458146099344,false
2023-11-08,3674.468694601976,2710.659814974824,4525.740140283558,false
2023-11-09,3744.6166368923805,2870.305857146091,4630.220501816799,false
2023-11-10,3817.3396244277164,2907.1666651487917,4708.146004702937,false
2023-11-11,2707.7385011734286,1782.7674881027763,3607.3063464330094,false
2023-11-12,2737.3435857093878,1825.4378801312755,3665.515181901043,false
2023-11-13,3743.7200510672233,2905.214379774676,4624.104005099218,false
2023-11-14,3660.9161177807955,2769.79034758518,4524.500083752932,false
2023-11-15,3767.116214882802,2786.542713379106,4613.735484726598,false
2023-11-16,3815.8871581640024,2847.4382457944052,4682.140384376475,false
2023-11-17,3871.3012918058985,2964.9605609038013,4790.760237062399,false
2023-11-18,2736.1333504790573,1878.650086271206,3615.8005164893434,false
2023-11-19,2740.5185869532347,1797.2504597509133,3565.450814746437,false
2023-11-20,3742.224562328798,2904.215348119741,4640.212908906588,false
2023-11-21,3684.2547946862605,2751.1993059481574,4594.719496185076,false
2023-11-22,3827.7604826223887,2937.4357704835697,4764.098860779418,false
2023-11-23,3891.1712534224234,3000.371417017577,4776.678049872351,false
2023-11-24,3910.165334944566,3021.5355632245237,4824.237807777036,false
2023-11-25,2687.264477037032,1801.0172443283338,3603.035515191755,false
2023-11-26,2581.5839370173708,1723.375291374834,3438.656828397526,false
2023-11-27,3490.631913116871,2554.635960631713,4385.503278565022,false
2023-11-28,3385.759909327782,2482.4373375162654,4295.682477051893,false
2023-11-29,3534.9711175400043,2642.8879622070085,4424.545915264823,false
2023-11-30,3646.5923908609197,2733.001838876546,4602.202173495659,false
2023-12-01,3738.815183571117,2866.670333935342,4628.908229439296,false
2023-12-02,2594.180589849582,1746.8550361701632,3475.151273740492,false
2023-12-03,2549.6676277979923,1679.999416405583,3462.534720396939,false
2023-12-04,3481.935232577699,2590.0927541048104,4409.5811152052165,false
2023-12-05,3353.2602220174194,2435.5739618123052,4226.672047360223,false
2023-12-06,3444.841612157967,2519.025209505846,4338.084869661825,false
2023-12-07,3498.5330304143595,2601.9667517845405,4362.228808513477,false
2023-12-08,3567.744661224813,2664.7925164152225,4479.1790778943205,false
2023-12-09,2447.9905665400556,1532.0553484195755,3366.1227922839444,false
2023-12-10,2457.043699913892,1628.9508929619515,3405.7229060849,false
2023-12-11,3434.250128550798,2637.5494847701734,4378.280827191888,false
2023-12-12,3314.6778264007744,2397.355613086052,4264.238539654219,false
2023-12-13,3382.1199350181805,2526.850705524101,4276.745293708013,false
2023-12-14,3406.0125209090525,2558.4101723167423,4311.912562853518,false
2023-12-15,3467.9734811809644,2542.8678964739643,4382.56987114343,false
2023-12-16,2370.1015558592317,1421.306949728239,3195.9262318433944,false
2023-12-17,2413.9644313935974,1499.2232252895853,3335.5827700025343,false
2023-12-18,3419.1829538332777,2564.161902401002,4393.466792986715,false
2023-12-19,3318.109695982072,2410.3274779331014,4189.311437675432,false
2023-12-20,3410.911276774784,2554.884613324809,4261.335893882276,false
2023-12-21,3484.089645696551,2572.6369853747806,4288.579367158624,false
2023-12-22,3615.4908578947943,2754.381643682742,4507.189449341597,false
2023-12-23,2578.513051905727,1706.9733896252355,3432.1879933812647,false
2023-12-24,2639.4352755475625,1752.0472755122985,3574.6873731254964,false
2023-12-25,3601.916851419697,2699.8558048243344,4531.485284110169,false
2023-12-26,3414.081207706604,2548.7902441915044,4317.991728205052,false
2023-12-27,3413.591936506481,2477.1082528337542,4285.315444788589,false
2023-12-28,3423.460335738353,2522.6137180905394,4299.999553726865,false
2023-12-29,3539.60134304063,2649.205102979645,4400.662158143729,false
2023-12-30,2532.8916995863974,1594.1447027085903,3408.9227628871336,false
2023-12-31,2655.0828491322823,1757.439439866096,3541.7877285950303,false
2024-01-01,3691.2281129020903,2837.5435416928894,4588.206247553828,false
2024-01-02,3568.6727669204174,2704.477721835027,4422.048910156382,false
2024-01-03,3602.999789246035,2639.4746098539886,4511.295353265567,false
2024-01-04,3600.9540660137254,2744.619152404885,4513.521786341137,false
2024-01-05,3659.984153494164,2734.397030574343,4568.303106201897,false
2024-01-06,2575.938052483641,1607.1555068454368,3423.5241770304588,false
